what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.rse.efs,2.1.0.v20080604,org.eclipse.rse.efs,1300027645846
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.0.v20080604,org.eclipse.rse.subsystems.processes.shell.linux,1300027645846
stopped,bundle,org.eclipse.rse.subsystems.shells.core,3.0.0.v20080604,org.eclipse.rse.subsystems.shells.core,1300027645846
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.0.0.v20080606,org.eclipse.rse.subsystems.files.core,1300027645846
stopped,bundle,org.eclipse.rse.subsystems.processes.core,3.0.0.v20080529,org.eclipse.rse.subsystems.processes.core,1300027645846
stopped,bundle,org.eclipse.rse.terminals.ui,0.1.0.v20080609,org.eclipse.rse.terminals.ui,1300027645846
stopped,bundle,org.eclipse.rse.subsystems.terminals.core,0.1.0.v20080505,org.eclipse.rse.subsystems.terminals.core,1300027645846
stopped,bundle,org.eclipse.rse.ui,3.0.0.v20080613,org.eclipse.rse.ui,1300027645846
stopped,bundle,org.eclipse.ui.views.log,1.0.0.v20080522-2200,org.eclipse.ui.views.log,1300027645846
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.102.v200805301834,org.eclipse.jst.ws.axis2.core,1300027645846
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.305.v200806041425,org.eclipse.wst.ws.explorer,1300027645846
stopped,bundle,org.eclipse.wst.ws.ui,1.1.0.v200805140300,org.eclipse.wst.ws.ui,1300027645846
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.0.v200805140415,org.eclipse.wst.command.env.ui,1300027645846
stopped,bundle,org.eclipse.wst.validation.ui,1.2.0.v200805262011,org.eclipse.wst.validation.ui,1300027645846
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1300027645847
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.0.v200805281731,org.eclipse.wst.common.project.facet.ui,1300027645847
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1300027645847
stopped,bundle,org.eclipse.wst.internet.monitor.ui,1.0.304.v200805140145,org.eclipse.wst.internet.monitor.ui,1300027645847
stopped,bundle,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.ide,1300027645868
stopped,bundle,org.eclipse.epp.usagedata.ui,1.0.0.R200806162215,org.eclipse.epp.usagedata.ui,1300027645868
stopped,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1300027645868
stopped,bundle,org.eclipse.ui.intro,3.2.200.v20080610,org.eclipse.ui.intro,1300027645868
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.4.0.I20080527-2000,org.eclipse.ui.views.properties.tabbed,1300027645868
stopped,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1300027645868
stopped,bundle,org.eclipse.update.ui,3.2.100.v20080318,org.eclipse.update.ui,1300027645868
